rho [kg/m3], e [J/kg], P [Pa] 
419.87410, 320389.64939, 1674628.06807 
419.74537, 320388.42681, 1672704.21421 
419.61615, 320387.20041, 1670780.36036 
419.48647, 320385.97014, 1668856.50651 
419.35630, 320384.73598, 1666932.65265 
419.22565, 320383.49788, 1665008.79880 
419.09451, 320382.25603, 1663084.94494 
418.96288, 320381.00993, 1661161.09109 
418.83075, 320379.75980, 1659237.23724 
418.69812, 320378.50559, 1657313.38338 
418.56498, 320377.24727, 1655389.52953 
418.43134, 320375.98479, 1653465.67568 
418.29718, 320374.71813, 1651541.82182 
418.16251, 320373.44722, 1649617.96797 
418.02731, 320372.17204, 1647694.11411 
417.89159, 320370.89256, 1645770.26026 
417.75533, 320369.60872, 1643846.40641 
417.61854, 320368.32049, 1641922.55255 
417.48120, 320367.02809, 1639998.69870 
417.34332, 320365.73099, 1638074.84484 
417.20488, 320364.42938, 1636150.99099 
414.53494, 320339.18540, 1634227.13714 
411.89009, 320313.88572, 1632303.28328 
409.27059, 320288.53611, 1630379.42943 
406.67608, 320263.13649, 1628455.57558 
404.10624, 320237.68682, 1626531.72172 
401.56071, 320212.18705, 1624607.86787 
399.03918, 320186.63713, 1622684.01401 
396.54130, 320161.03698, 1620760.16016 
394.06678, 320135.38657, 1618836.30631 
391.61529, 320109.68583, 1616912.45245 
389.18652, 320083.93470, 1614988.59860 
386.78018, 320058.13313, 1613064.74474 
384.39596, 320032.28105, 1611140.89089 
382.03358, 320006.37840, 1609217.03704 
379.69274, 319980.42513, 1607293.18318 
377.37317, 319954.42116, 1605369.32933 
375.07458, 319928.36644, 1603445.47548 
372.79671, 319902.26089, 1601521.62162 
370.53929, 319876.10446, 1599597.76777 
368.30205, 319849.89708, 1597673.91391 
366.08473, 319823.63868, 1595750.06006 
363.88709, 319797.32920, 1593826.20621 
361.70886, 319770.96855, 1591902.35235 
359.54980, 319744.55668, 1589978.49850 
357.40968, 319718.09352, 1588054.64464 
355.28825, 319691.57898, 1586130.79079 
353.18528, 319665.01301, 1584206.93694 
351.10053, 319638.39552, 1582283.08308 
349.03378, 319611.72645, 1580359.22923 
346.98482, 319585.00571, 1578435.37538 
344.95341, 319558.23324, 1576511.52152 
342.93934, 319531.40896, 1574587.66767 
340.94240, 319504.53278, 1572663.81381 
338.96239, 319477.60464, 1570739.95996 
336.99908, 319450.62445, 1568816.10611 
335.05229, 319423.59214, 1566892.25225 
333.12182, 319396.50763, 1564968.39840 
331.20746, 319369.37083, 1563044.54454 
329.30902, 319342.18166, 1561120.69069 
327.42632, 319314.94004, 1559196.83684 
325.55917, 319287.64589, 1557272.98298 
323.70738, 319260.29912, 1555349.12913 
321.87076, 319232.89966, 1553425.27528 
320.04916, 319205.44741, 1551501.42142 
318.24238, 319177.94229, 1549577.56757 
316.45025, 319150.38421, 1547653.71371 
314.67260, 319122.77309, 1545729.85986 
312.90928, 319095.10883, 1543806.00601 
311.16010, 319067.39135, 1541882.15215 
309.42491, 319039.62056, 1539958.29830 
307.70354, 319011.79637, 1538034.44444 
305.99585, 318983.91869, 1536110.59059 
304.30166, 318955.98743, 1534186.73674 
302.62084, 318928.00249, 1532262.88288 
300.95323, 318899.96378, 1530339.02903 
299.29867, 318871.87121, 1528415.17518 
