rho [kg/m3], e [J/kg], P [Pa] 
41.68345, 298573.61017, 681919.47948 
41.49147, 298498.02189, 679995.62563 
41.30014, 298422.20375, 678071.77177 
41.10945, 298346.15451, 676147.91792 
40.91940, 298269.87293, 674224.06406 
40.72998, 298193.35773, 672300.21021 
40.54121, 298116.60766, 670376.35636 
40.35306, 298039.62143, 668452.50250 
40.16555, 297962.39775, 666528.64865 
39.97866, 297884.93532, 664604.79479 
39.79239, 297807.23282, 662680.94094 
39.60675, 297729.28893, 660757.08709 
39.42173, 297651.10232, 658833.23323 
39.23732, 297572.67163, 656909.37938 
39.05352, 297493.99550, 654985.52553 
38.87034, 297415.07257, 653061.67167 
38.68776, 297335.90144, 651137.81782 
38.50579, 297256.48074, 649213.96396 
38.32442, 297176.80904, 647290.11011 
38.14365, 297096.88492, 645366.25626 
37.96348, 297016.70696, 643442.40240 
37.78391, 296936.27371, 641518.54855 
37.60492, 296855.58371, 639594.69469 
37.42653, 296774.63550, 637670.84084 
37.24872, 296693.42758, 635746.98699 
37.07150, 296611.95845, 633823.13313 
36.89486, 296530.22662, 631899.27928 
36.71880, 296448.23055, 629975.42543 
36.54331, 296365.96871, 628051.57157 
36.36841, 296283.43954, 626127.71772 
36.19407, 296200.64148, 624203.86386 
36.02030, 296117.57295, 622280.01001 
35.84710, 296034.23234, 620356.15616 
35.67447, 295950.61807, 618432.30230 
35.50240, 295866.72849, 616508.44845 
35.33089, 295782.56198, 614584.59459 
35.15994, 295698.11687, 612660.74074 
34.98954, 295613.39149, 610736.88689 
34.81969, 295528.38417, 608813.03303 
34.65040, 295443.09320, 606889.17918 
34.48166, 295357.51686, 604965.32533 
34.31346, 295271.65343, 603041.47147 
34.14580, 295185.50114, 601117.61762 
33.97869, 295099.05825, 599193.76376 
33.81212, 295012.32295, 597269.90991 
33.64608, 294925.29346, 595346.05606 
33.48058, 294837.96796, 593422.20220 
33.31561, 294750.34461, 591498.34835 
33.15117, 294662.42157, 589574.49449 
32.98726, 294574.19696, 587650.64064 
32.82388, 294485.66889, 585726.78679 
32.66102, 294396.83547, 583802.93293 
32.51470, 294316.52501, 581879.07908 
32.37968, 294242.02451, 579955.22523 
32.24494, 294167.30405, 578031.37137 
32.11047, 294092.36199, 576107.51752 
31.97628, 294017.19671, 574183.66366 
31.84237, 293941.80677, 572259.80981 
31.70873, 293866.19010, 570335.95596 
31.57536, 293790.34523, 568412.10210 
31.44226, 293714.27045, 566488.24825 
31.30943, 293637.96407, 564564.39439 
31.17687, 293561.42435, 562640.54054 
31.04457, 293484.64955, 560716.68669 
30.91254, 293407.63792, 558792.83283 
30.78077, 293330.38769, 556868.97898 
30.64926, 293252.89705, 554945.12513 
30.51802, 293175.16421, 553021.27127 
30.38703, 293097.18733, 551097.41742 
30.25630, 293018.96457, 549173.56356 
30.12583, 292940.49408, 547249.70971 
29.99562, 292861.77397, 545325.85586 
29.86566, 292782.80233, 543402.00200 
29.73595, 292703.57726, 541478.14815 
29.60649, 292624.09682, 539554.29429 
29.47729, 292544.35905, 537630.44044 
29.34833, 292464.36198, 535706.58659 
29.21962, 292384.10361, 533782.73273 
29.09116, 292303.58192, 531858.87888 
28.96295, 292222.79489, 529935.02503 
28.83498, 292141.74044, 528011.17117 
28.70725, 292060.41651, 526087.31732 
28.57977, 291978.82099, 524163.46346 
28.45253, 291896.95176, 522239.60961 
28.32553, 291814.80669, 520315.75576 
28.19876, 291732.38359, 518391.90190 
28.07224, 291649.68029, 516468.04805 
27.94595, 291566.69456, 514544.19419 
27.81989, 291483.42419, 512620.34034 
27.69407, 291399.86689, 510696.48649 
27.56849, 291316.02040, 508772.63263 
27.44313, 291231.88240, 506848.77878 
27.31801, 291147.45056, 504924.92492 
27.19312, 291062.72252, 503001.07107 
27.06845, 290977.69590, 501077.21722 
26.94402, 290892.36828, 499153.36336 
26.81981, 290806.73722, 497229.50951 
26.69583, 290720.80027, 495305.65566 
26.57207, 290634.55492, 493381.80180 
26.44853, 290547.99866, 491457.94795 
26.32522, 290461.12895, 489534.09409 
26.20213, 290373.94319, 487610.24024 
26.07926, 290286.43880, 485686.38639 
25.95661, 290198.61312, 483762.53253 
25.83417, 290110.46350, 481838.67868 
25.71196, 290021.98723, 479914.82482 
25.58996, 289933.18159, 477990.97097 
25.46818, 289844.04381, 476067.11712 
25.34661, 289754.57111, 474143.26326 
25.22526, 289664.76066, 472219.40941 
25.10411, 289574.60960, 470295.55556 
24.98318, 289484.11504, 468371.70170 
24.86246, 289393.27405, 466447.84785 
24.74195, 289302.08366, 464523.99399 
24.62165, 289210.54089, 462600.14014 
24.50156, 289118.64270, 460676.28629 
24.38167, 289026.38601, 458752.43243 
24.26199, 288933.76772, 456828.57858 
24.14252, 288840.78468, 454904.72472 
24.02325, 288747.43372, 452980.87087 
23.90418, 288653.71159, 451057.01702 
23.78532, 288559.61505, 449133.16316 
23.66665, 288465.14078, 447209.30931 
23.54819, 288370.28544, 445285.45546 
23.42993, 288275.04564, 443361.60160 
23.31186, 288179.41795, 441437.74775 
23.19400, 288083.39889, 439513.89389 
23.07633, 287986.98494, 437590.04004 
22.95886, 287890.17255, 435666.18619 
22.84158, 287792.95809, 433742.33233 
22.72450, 287695.33791, 431818.47848 
22.60761, 287597.30831, 429894.62462 
22.49091, 287498.86553, 427970.77077 
22.37441, 287400.00577, 426046.91692 
22.25809, 287300.72517, 424123.06306 
22.14197, 287201.01983, 422199.20921 
22.02604, 287100.88580, 420275.35536 
21.91029, 287000.31905, 418351.50150 
21.79473, 286899.31554, 416427.64765 
21.67936, 286797.87114, 414503.79379 
21.56418, 286695.98167, 412579.93994 
21.44918, 286593.64290, 410656.08609 
21.33437, 286490.85054, 408732.23223 
21.21974, 286387.60025, 406808.37838 
21.10529, 286283.88760, 404884.52452 
20.99103, 286179.70814, 402960.67067 
20.87694, 286075.05731, 401036.81682 
20.76304, 285969.93053, 399112.96296 
20.64932, 285864.32314, 397189.10911 
20.53578, 285758.23039, 395265.25526 
20.42241, 285651.64749, 393341.40140 
20.30923, 285544.56957, 391417.54755 
20.19622, 285436.99170, 389493.69369 
20.08338, 285328.90886, 387569.83984 
19.97072, 285220.31598, 385645.98599 
19.85824, 285111.20789, 383722.13213 
19.74593, 285001.57936, 381798.27828 
19.63380, 284891.42507, 379874.42442 
19.52183, 284780.73965, 377950.57057 
19.41004, 284669.51760, 376026.71672 
19.29842, 284557.75338, 374102.86286 
19.18697, 284445.44135, 372179.00901 
19.07569, 284332.57579, 370255.15516 
18.96457, 284219.15087, 368331.30130 
18.85363, 284105.16070, 366407.44745 
18.74285, 283990.59928, 364483.59359 
18.63224, 283875.46072, 362559.73974 
18.52180, 283759.73845, 360635.88589 
18.41152, 283643.42637, 358712.03203 
18.30141, 283526.51811, 356788.17818 
18.19146, 283409.00718, 354864.32432 
18.08167, 283290.88700, 352940.47047 
17.97205, 283172.15088, 351016.61662 
17.86258, 283052.79200, 349092.76276 
17.75328, 282932.80347, 347168.90891 
17.64414, 282812.17825, 345245.05506 
17.53516, 282690.90921, 343321.20120 
17.42634, 282568.98907, 341397.34735 
17.31768, 282446.41047, 339473.49349 
17.20918, 282323.16589, 337549.63964 
17.10083, 282199.24770, 335625.78579 
16.99264, 282074.64815, 333701.93193 
16.88461, 281949.35933, 331778.07808 
16.77673, 281823.37321, 329854.22422 
16.66900, 281696.68163, 327930.37037 
16.56143, 281569.27628, 326006.51652 
16.45402, 281441.14870, 324082.66266 
16.34675, 281312.29027, 322158.80881 
16.23964, 281182.69226, 320234.95495 
16.13268, 281052.34580, 318311.10110 
16.02587, 280921.24169, 316387.24725 
15.91921, 280789.37076, 314463.39339 
15.81270, 280656.72360, 312539.53954 
15.70634, 280523.29064, 310615.68569 
15.60013, 280389.06211, 308691.83183 
15.49406, 280254.02810, 306767.97798 
15.38815, 280118.17848, 304844.12412 
15.28238, 279981.50293, 302920.27027 
15.17675, 279843.99096, 300996.41642 
15.07127, 279705.63187, 299072.56256 
14.96594, 279566.41474, 297148.70871 
14.86075, 279426.32847, 295224.85485 
14.75570, 279285.36171, 293301.00100 
14.65079, 279143.50292, 291377.14715 
14.54603, 279000.74031, 289453.29329 
14.44141, 278857.06187, 287529.43944 
14.33693, 278712.45536, 285605.58559 
14.23259, 278566.90827, 283681.73173 
14.12840, 278420.40786, 281757.87788 
14.02434, 278272.94111, 279834.02402 
13.92042, 278124.49476, 277910.17017 
13.81663, 277975.05525, 275986.31632 
13.71299, 277824.60877, 274062.46246 
13.60948, 277673.14119, 272138.60861 
13.50611, 277520.63809, 270214.75475 
13.40287, 277367.08477, 268290.90090 
13.29977, 277212.46619, 266367.04705 
13.19681, 277056.76699, 264443.19319 
13.09397, 276899.97148, 262519.33934 
12.99127, 276742.06364, 260595.48549 
12.88871, 276583.02707, 258671.63163 
12.78628, 276422.84504, 256747.77778 
12.68397, 276261.50043, 254823.92392 
12.58180, 276098.97573, 252900.07007 
12.47977, 275935.25305, 250976.21622 
12.37786, 275770.31406, 249052.36236 
12.27608, 275604.14005, 247128.50851 
12.17442, 275436.71185, 245204.65465 
12.07290, 275268.00985, 243280.80080 
11.97151, 275098.01397, 241356.94695 
11.87024, 274926.70366, 239433.09309 
11.76910, 274754.05788, 237509.23924 
11.66808, 274580.05509, 235585.38539 
11.56719, 274404.67320, 233661.53153 
11.46643, 274227.88959, 231737.67768 
11.36579, 274049.68111, 229813.82382 
11.26527, 273870.02398, 227889.96997 
11.16488, 273688.89386, 225966.11612 
11.06461, 273506.26578, 224042.26226 
10.96446, 273322.11413, 222118.40841 
10.86444, 273136.41265, 220194.55455 
10.76453, 272949.13437, 218270.70070 
10.66474, 272760.25164, 216346.84685 
10.56508, 272569.73605, 214422.99299 
10.46553, 272377.55847, 212499.13914 
10.36611, 272183.68893, 210575.28529 
10.26680, 271988.09669, 208651.43143 
10.16760, 271790.75015, 206727.57758 
10.06853, 271591.61681, 204803.72372 
9.96957, 271390.66330, 202879.86987 
9.87073, 271187.85527, 200956.01602 
9.77200, 270983.15741, 199032.16216 
9.67339, 270776.53338, 197108.30831 
9.57489, 270567.94580, 195184.45445 
9.47651, 270357.35616, 193260.60060 
9.37824, 270144.72484, 191336.74675 
9.28008, 269930.01101, 189412.89289 
9.18203, 269713.17261, 187489.03904 
9.08409, 269494.16629, 185565.18519 
8.98627, 269272.94736, 183641.33133 
8.88855, 269049.46972, 181717.47748 
8.79095, 268823.68583, 179793.62362 
8.69345, 268595.54663, 177869.76977 
8.59606, 268365.00147, 175945.91592 
8.49878, 268131.99804, 174022.06206 
8.40161, 267896.48232, 172098.20821 
8.30454, 267658.39848, 170174.35435 
8.20758, 267417.68879, 168250.50050 
8.11072, 267174.29357, 166326.64665 
8.01397, 266928.15106, 164402.79279 
7.91732, 266679.19737, 162478.93894 
7.82078, 266427.36630, 160555.08509 
7.72433, 266172.58934, 158631.23123 
7.62799, 265914.79545, 156707.37738 
7.53175, 265653.91101, 154783.52352 
7.43562, 265389.85965, 152859.66967 
7.33958, 265122.56214, 150935.81582 
7.24364, 264851.93623, 149011.96196 
7.14780, 264577.89648, 147088.10811 
7.05206, 264300.35413, 145164.25425 
6.95641, 264019.21689, 143240.40040 
6.86087, 263734.38877, 141316.54655 
6.76541, 263445.76987, 139392.69269 
6.67006, 263153.25617, 137468.83884 
6.57479, 262856.73929, 135544.98498 
6.47963, 262556.10626, 133621.13113 
6.38455, 262251.23922, 131697.27728 
6.28957, 261942.01518, 129773.42342 
6.19468, 261628.30570, 127849.56957 
6.09987, 261309.97654, 125925.71572 
6.00516, 260986.88732, 124001.86186 
5.91054, 260658.89115, 122078.00801 
5.81601, 260325.83422, 120154.15415 
5.72156, 259987.55532, 118230.30030 
5.62720, 259643.88541, 116306.44645 
5.53293, 259294.64707, 114382.59259 
5.43874, 258939.65392, 112458.73874 
5.34463, 258578.71007, 110534.88488 
5.25061, 258211.60937, 108611.03103 
5.15667, 257838.13476, 106687.17718 
5.06281, 257458.05744, 104763.32332 
4.96903, 257071.13600, 102839.46947 
4.87533, 256677.11552, 100915.61562 
4.78171, 256275.72649, 98991.76176 
4.68816, 255866.68368, 97067.90791 
4.59469, 255449.68492, 95144.05405 
4.50130, 255024.40971, 93220.20020 
4.40798, 254590.51768, 91296.34635 
4.31473, 254147.64695, 89372.49249 
4.22155, 253695.41225, 87448.63864 
4.12844, 253233.40283, 85524.78478 
4.03540, 252761.18024, 83600.93093 
3.94242, 252278.27566, 81677.07708 
3.84951, 251784.18711, 79753.22322 
3.75667, 251278.37621, 77829.36937 
3.66388, 250760.26455, 75905.51552 
3.57116, 250229.22963, 73981.66166 
3.47850, 249684.60022, 72057.80781 
3.38589, 249125.65118, 70133.95395 
3.29334, 248551.59746, 68210.10010 
3.20084, 247961.58728, 66286.24625 
3.10839, 247354.69439, 64362.39239 
3.01599, 246729.90907, 62438.53854 
2.92364, 246086.12772, 60514.68468 
2.83133, 245422.14091, 58590.83083 
2.73906, 244736.61925, 56666.97698 
2.64683, 244028.09703, 54743.12312 
2.55464, 243294.95280, 52819.26927 
2.46247, 242535.38648, 50895.41542 
2.37034, 241747.39198, 48971.56156 
2.27823, 240928.72450, 47047.70771 
2.18614, 240076.86089, 45123.85385 
2.09407, 239188.95157, 43200.00000 
