Density,Energy,s,T,p,c2,dpdrho_e,dpde_rho,cp
396.6364086060496,369565.2173913043,824.4814707534646,529.6235524823024,2791835.454103027,17602.188463292627,17094.66632038991,28.598965972210873,3212.081347248799
396.6364086060496,370568.56187290966,826.3750803239753,530.0928182436321,2820545.2128788205,17812.59671704385,17299.315313170115,28.62909491997156,3198.9165647169343
396.6364086060496,371571.906354515,828.2670144995989,530.5619799034577,2849285.026480144,18023.018105708037,17503.967273940685,28.65887575483152,3186.1637229841654
396.6364086060496,372575.2508361204,830.1572766142369,531.0310368333048,2878054.5471223,18233.45132374184,17708.62107993596,28.68831144810937,3173.8042042402653
396.6364086060496,373578.59531772573,832.0458699941682,531.4999884121725,2906853.4299917747,18443.895080135033,17913.275621217355,28.71740495186512,3161.820505435161
396.6364086060496,374581.9397993311,833.9327979580729,531.9688340264713,2935681.3332276354,18654.34809818317,18117.929800451657,28.746159198879003,3150.1961559645747
396.6364086060496,375585.28428093647,835.8180638170298,532.4375730699732,2964537.9179017097,18864.809115260927,18322.582532690296,28.774577102633533,3138.9156425434967
396.6364086060496,376588.6287625418,837.7016708745075,532.9062049437628,2993422.847999325,19075.27688259486,18527.2327451484,28.80266155729844,3127.9643405458332
396.6364086060496,377591.97324414714,839.5836224263742,533.3747290561811,3022335.790400068,19285.750165051082,18731.879376998837,28.830415437718695,3117.328451169118
396.6364086060496,378595.3177257525,841.4639217608685,533.8431448227758,3051276.4148582453,19496.227740917704,18936.5213791614,28.857841599405564,3106.994943857061
396.6364086060496,379598.6622073578,843.3425721586522,534.3114516662431,3080244.3939835387,19706.708401695494,19141.157714100456,28.884942878530328,3096.9515034729493
396.6364086060496,380602.0066889632,845.2195768927461,534.7796490163875,3109239.403221496,19917.19095189098,19345.78735562519,28.911722091920442,3087.186481773012
396.6364086060496,381605.35117056855,847.0949392285551,535.2477363100566,3138261.1208343245,20127.674208817738,19550.40928869829,28.93818203706023,3077.6888527766955
396.6364086060496,382608.6956521739,848.9686624238828,535.7157129910984,3167309.2278813478,20338.157002395707,19755.022509242906,28.964325492091824,3068.44817167409
396.6364086060496,383612.0401337793,850.8407497289047,536.1835785103068,3196383.408199508,20548.638174959477,19959.626023958765,28.990155215820764,3059.4545369470784
396.6364086060496,384615.3846153846,852.7112043861779,536.6513323253716,3225483.3483842486,20759.116581068185,20164.218850140078,29.015673947723933,3050.698555415282
396.6364086060496,385618.72909698996,854.5800296306464,537.1189739008256,3254608.737769854,20969.59108731836,20368.80001549663,29.04088440795968,3042.1713099465624
396.6364086060496,386622.0735785953,856.4472286896498,537.5865027079922,3283759.268410228,21180.060572163686,20573.368557981925,29.065789297380952,3033.8643295978363
396.6364086060496,387625.41806020064,858.3128047828858,538.05391822494,3312934.635059429,21390.523925736645,20777.923525623442,29.0903912975513,3025.769561975745
396.6364086060496,388628.762541806,860.1767611224528,538.5212199364257,3342134.53515234,21600.980049671554,20982.46397635449,29.114693070762772,3017.879347627124
396.6364086060496,389632.1070234114,862.03910091285,538.9884073338503,3371358.6687855823,21811.427856938204,21186.988977856578,29.138697260057327,3010.186396286888
396.6364086060496,390635.4515050167,863.8998273509364,539.4554799151992,3400606.738697707,22021.866271669733,21391.49760739666,29.162406489249847,3002.6837648288615
396.6364086060496,391638.7959866221,865.7589436259732,539.9224371850041,3429878.4502506787,22232.2942290057,21595.98895167914,29.185823362954505,2995.3648367779174
396.6364086060496,392642.14046822744,867.6164529196028,540.3892786542835,3459173.511409593,22442.710674921833,21800.4621066853,29.20895046661261,2988.2233032571867
396.6364086060496,393645.4849498328,869.4723584058947,540.8560038404926,3488491.6327243955,22653.114566084492,22004.91617753707,29.231790366523256,2981.2531452527014
396.6364086060496,394648.8294314381,871.3266632512705,541.3226122674855,3517832.5273102834,22863.504869690307,22209.35027834642,29.2543456098776,2974.4486170922073
396.6364086060496,395652.17391304346,873.1793706145689,541.7891034654483,3547195.9108285746,23073.880563319894,22413.763532078796,29.27661872479325,2967.8042310410005
396.6364086060496,396655.5183946488,875.0304836470511,542.2554769708626,3576581.5014675534,23284.240634788996,22618.155070414276,29.298612220352094,2961.3147429284
396.6364086060496,397658.86287625413,876.8800054923443,542.7217323264531,3605989.0199234546,23494.5840820069,22822.524033615864,29.320328586641384,2954.9751387248048
396.6364086060496,398662.20735785953,878.7279392865328,543.1878690811362,3635418.189381405,23704.909912834788,23026.86957039811,29.341770294794536,2948.7806219972617
396.6364086060496,399665.55183946487,880.5742881580671,543.6538867899717,3664868.73549652,23915.217144951836,23231.190837803257,29.362939797037154,2942.7266021766645
396.6364086060496,400668.89632107026,882.4190552278402,544.119785014116,3694340.386374765,24125.50480571794,23435.487001074514,29.383839526732675,2936.808683576646
396.6364086060496,401672.2408026756,884.2622436091659,544.5855633207744,3723832.872554384,24335.771932046755,23639.757233539258,29.404471898431552,2931.022655107879
396.6364086060496,402675.58528428094,886.1038564077776,545.051221283148,3753345.926986535,24546.017570273223,23844.000716487328,29.424839307921687,2925.3644806376215
396.6364086060496,403678.92976588634,887.9438967218446,545.5167584803887,3782879.285016926,24756.24077603305,24048.216639060855,29.44494413228154,2919.830289947119
396.6364086060496,404682.27424749156,889.7823676419824,545.9821744975546,3812432.684366934,24966.440614138966,24252.40419814135,29.464788729934988,2914.41637024463
396.6364086060496,405685.6187290969,891.6192722512135,546.4474689255564,3842005.8651149967,25176.61615846189,24456.562598241428,29.484375440708646,2909.119158194282
396.6364086060496,406688.96321070223,893.4546136250478,546.912641361109,3871598.569677771,25386.76649181488,24660.6910513997,29.503706585889223,2903.935232424766
396.6364086060496,407692.3076923077,895.2883948314262,547.3776914066954,3901210.54279164,25596.890705838206,24864.788777076625,29.52278446828537,2898.861306484422
396.6364086060496,408695.652173913,897.1206189307592,547.8426186705017,3930841.531494445,25806.9879008915,25068.85500205754,29.54161137228951,2893.894222211886
396.6364086060496,409698.99665551836,898.9512889759004,548.307422766388,3960491.2851067153,26017.05718594272,25272.888960352626,29.560189563942494,2889.030943494276
396.6364086060496,410702.3411371237,900.7804080122041,548.7721033138271,3990159.5552133867,26227.097678462367,25476.88989310211,29.57852129099885,2884.268550386547
396.6364086060496,411705.68561872904,902.6079790774891,549.2366599378677,4019846.095645647,26437.10850432351,25680.857048487273,29.596608782995265,2879.6042335676907
396.6364086060496,412709.03010033444,904.4340052020489,549.701092269084,4049550.6624624925,26647.088797698067,25884.789681637907,29.61445425131947,2875.0352891119737
396.6364086060496,413712.3745819398,906.2584894086945,550.1653999435287,4079273.013932627,26857.03770095916,26088.687054545662,29.63205988928116,2870.559113554133
