Density,Energy,s,dsdrho_e,dsde_rho,d2sdrho2,d2sdedrho,d2sde2,T,p,c2,dTdrho_e,dTde_rho,dpdrho_e,dpde_rho,dhdrho_e,dhde_rho,dhdrho_p,dhdp_rho,dsdp_rho,dsdrho_p,cp
552.0574517739356,353731.20311006356,786.9006355153721,-0.09078495760461168,0.0018554419270816335,-0.0009119693020438319,-4.4299201037983203e-07,-1.6382230930809224e-09,538.9551596329769,14911972.082415564,211584.43290807298,0.12867706942783314,0.00047585902622917923,207379.9476347176,85.93029576504004,326.72019230696486,1.1556546252367732,-2462.279816732043,0.013448744880346855,2.159240708486544e-05,-4.568617208171513,2414.6207802382787
559.37266506582,521613.8254661358,1076.6551866845564,-0.160869034128812,0.0016208114686854446,-0.001017121740267686,-3.1620599034426263e-07,-1.1665622531181806e-09,616.9749038184235,31055779.384851992,321729.2247735618,0.12036634997263998,0.00044406129140950383,313452.0250514242,83.39566598937964,461.11134430448413,1.1490878464351966,-3857.8650455832294,0.013778747765879487,1.9435200252395052e-05,-6.2528719105219945,2491.0535166596833
346.0988738921889,689496.4478222108,1364.0495853384455,-0.11557040468406016,0.001497021200789048,6.69834274818226e-05,-2.0073168757211364e-07,-9.55385902969915e-10,667.9932117680908,9247387.479568891,51013.66635516263,0.08956947611313087,0.00042630745474175907,49318.1030260946,21.963185625544458,65.29690383797352,1.063459280807675,-2322.6897602609515,0.048420083449588945,6.816047664087152e-05,-3.4771158139662752,2676.836752422236
39.55571130403054,357928.2686825205,858.0553654993224,-1.012132001498829,0.0020731098444988216,0.031933786180487554,-7.723925824424122e-07,-2.1846001233550758e-09,482.36710787592244,763894.247155716,15484.303064839174,0.17971878196721056,0.0005083084459631828,14806.68912865004,1.3879297560031865,-113.89424968590582,1.035087973651526,-11156.402546933812,0.7457783574236948,0.0014936705806126273,-23.12844794924021,2127.862590001204
140.5481012147009,559387.4154962525,1187.7918104885503,-0.23916135688805104,0.0016882459783190114,0.0022049395708952893,-3.1073931490794154e-07,-1.2860209250018688e-09,592.33074613671,2798370.7349425717,15353.462107070933,0.10902466383287363,0.0004512077883415152,14536.416438688691,5.767545734384478,-38.23599513512172,1.0410360985636795,-2662.044275702562,0.18049897590881966,0.000292714796911651,-4.494185542561997,2589.0557731440176
28.407298399258835,433475.4487292187,1023.1377439644958,-1.5628974950728187,0.001929177136491796,0.06279034848901889,-5.884573748692316e-07,-1.8373426144689862e-09,518.3557181371626,653759.8651426286,20665.658053442945,0.15811417177488785,0.0004936804570051121,19961.818747780922,0.8687906280022403,-107.43649568638621,1.0305833598039333,-23786.69542161504,1.186227528919978,0.0022205317073089115,-45.888748960073826,2126.6671869976517
122.47144650306497,588766.8744085655,1241.7312004881264,-0.29485192874152927,0.0016568090196139077,0.0030175291575065106,-3.0131901402145193e-07,-1.2312207579442218e-09,603.5698672337222,2669323.5463909497,17596.906216279294,0.10976948769285737,0.0004485295170477589,16758.42665756981,4.711519105745971,-41.128361638321756,1.038470347499554,-3734.868907741209,0.22041093842388948,0.00035165070594605737,-6.18796449342118,2514.034820194638
600.9632253104472,509022.62878943013,1048.6582973896593,-0.20597735464860123,0.0016220982154785694,-0.0013558806761754395,-3.2740072838814716e-07,-1.1666358714716075e-09,616.4854818639751,45860430.14640032,477208.1436556675,0.12443007080396477,0.00044338503705941253,463763.4673119089,105.8785590391884,644.718194775195,1.1761814277146383,-4507.127297407215,0.01110877819256402,1.532036542807679e-05,-7.311003146058992,2479.630586600427
100.11333223544013,702087.6445622385,1430.2338781131257,-0.4103389102851669,0.0015356838654905296,0.004739422541309813,-2.427483796300263e-07,-1.023285379596516e-09,651.1756895229076,2678087.1914323387,23892.63679718226,0.1029325416762515,0.00043390347298115893,22992.479944980063,3.368816165586096,-37.53820732267338,1.0336500253299283,-7092.294628972574,0.3068288605027211,0.0004558526764322137,-10.891522431018327,2481.1258533812547
190.35579973253465,538402.0877017429,1142.6410092145172,-0.1554636646923252,0.0017004349902974695,0.0010767564502396974,-2.8877559572849305e-07,-1.2993710911235428e-09,588.0848169473758,3312844.8319034576,13218.432436269011,0.0998712354908385,0.00044937937329578477,12424.387565844418,8.685127063023979,-26.15653252657181,1.04562575490333,-1521.9618942070642,0.1203926836436248,0.00019578700207356712,-2.5879972588091076,2802.9684620600483
4.056101184568888,731467.1034112279,1628.2102606891226,-12.491512426415346,0.0015305044150778384,3.111999399289882,-2.760352096836793e-07,-1.027120446548612e-09,653.3793631357423,134275.87730199107,33541.20834590981,0.11784069861503207,0.0004384824353450171,32781.52048177479,0.0930796520428524,-79.66913956062959,1.0229480596778417,-360349.5244102112,10.990028832584084,0.016442953765804996,-551.5165380810276,2335.2261046901986
13.009712290031983,727270.037852327,1563.2822403762882,-3.8055522621438156,0.0015323570875869657,0.30214182376137166,-2.739744118935676e-07,-1.029110405600548e-09,652.5894049765651,420332.6188145736,32097.333011204268,0.11667828594572321,0.00043827026525756764,31321.124436523256,0.31255088064095465,-75.94447731851173,1.0240244268030765,-102694.74507760654,3.276344717708323,0.0049027444249861935,-157.36502047760698,2344.471147558329
554.4948065440555,441869.57983250037,944.1460522837135,-0.12876545243382442,0.001722912921914594,-0.0009637186061411844,-3.69484233851837e-07,-1.3602627332502151e-09,580.412386070415,22978993.149256054,266075.9208299623,0.12447130847856885,0.0004582433207425665,259792.10525693005,84.07897339753825,393.78329448378156,1.1516316697744544,-3164.5952617893495,0.01369702344401095,2.0491602743154322e-05,-5.452322069166568,2450.4476476522354
409.17549690914126,676905.2511455042,1337.9599867561685,-0.11686890893375598,0.0014959826543998586,-0.00019273059915768246,-2.1449280897443806e-07,-9.556935463947227e-10,668.4569483869909,13079515.852326091,89904.16847949197,0.0958428282014579,0.0004270370313033074,87376.07384790422,32.36092261013923,135.4199699813651,1.0790881244223798,-2778.170745086343,0.03334540666292015,4.6228059453754317e-05,-4.1560952456103,2627.911886090915
108.25915574114022,567781.5464604549,1211.1177002420766,-0.337215265892149,0.0016877472389770813,0.003931513074703221,-3.2839290758358024e-07,-1.2920739270949535e-09,592.5057833933032,2341688.3440893795,17229.052676273,0.11528663325590313,0.00045359948260940584,16415.233160677715,4.073130072678557,-48.17294324039103,1.0376238854330058,-4229.929407813606,0.2547485267885509,0.000414361242794093,-7.139051679105374,2469.632193993476
115.26693305112066,446066.64512074634,993.3748324528751,-0.26484437451895304,0.001862268152445544,0.0033149450065465304,-4.5491761790982777e-07,-1.637754919843221e-09,536.9795959227422,1889548.3684398849,10294.422817308036,0.1311741696933191,0.0004722418594352308,9596.514201952956,4.907383779828474,-58.96132286173309,1.042574081307881,-2097.741541964312,0.21245008095623646,0.0003794828845667814,-3.9065572656621455,2647.637815674872
552.057451773935,399898.9242579825,870.8733606014354,-0.11027460758806451,0.00178347199396799,-0.00093163601151609,-4.0207734337257444e-07,-1.4835635757436208e-09,560.7040667765866,18844203.25581891,236936.9416310011,0.12640871421038696,0.00046641614393412963,231719.35375603204,84.38408491858026,357.9063310153447,1.1528538101377446,-2807.8392016648004,0.013661981536566992,2.1135170164952435e-05,-5.007702579734612,2432.3486690601335
162.99528534207553,622343.3988797797,1286.3560445441676,-0.21448133539411132,0.0016059509136189972,0.001613434431214025,-2.5361470763921715e-07,-1.1337823547160093e-09,622.6840381730649,3548193.723315707,18301.33993405498,0.09833540300244512,0.0004396075677387876,17406.451952029824,6.700565201532293,-26.762966393544733,1.0411089510194722,-2731.3128644535545,0.15537628837361214,0.00023967394769201656,-4.386354390048507,2617.0548479094105
8.905926347645503,399898.9242579825,1011.4748345544525,-5.475179143330757,0.002006776148469919,0.6448971391145116,-6.98980075182544e-07,-2.047223609293729e-09,498.31168302576106,216400.17182724245,23861.136242358647,0.1735669112527862,0.0005083553753890569,23183.447361320355,0.2483881982578557,-125.1973967804158,1.0278902147358902,-96063.88874236298,4.13824095486542,0.008079192822143075,-192.778720657442,2032.063516852722
608.3183120084504,458657.8420826082,964.0108305824923,-0.19882344865376173,0.0016810008473739483,-0.001422725635048057,-3.632756223029026e-07,-1.2757698259153837e-09,594.8836977460156,43768478.55797347,479941.231668595,0.12855837986883623,0.0004514778637375099,466553.7176143517,113.18796963734219,648.6797278053352,1.1860670103183903,-4240.214160624507,0.010478737396903455,1.485140914498182e-05,-7.12780359705681,2447.588157189142
583.8151007529725,488037.30099492177,1017.5776066652054,-0.17698769240471432,0.0016529101831312917,-0.0012079653328948487,-3.4095814911401017e-07,-1.2243200398114338e-09,604.9935502881278,36495932.09266451,392066.5542946519,0.12479654565463409,0.00044812218784400003,381643.6958994509,97.3403774278728,546.6300357817105,1.1667315170545065,-4027.789542784186,0.01198610019689959,1.6980725027043007e-05,-6.657574350777713,2467.763336097204
173.04732490687275,408293.0553757872,911.52127239148,-0.12936489721115105,0.0018992109354632814,0.0012167878185806661,-4.3299825032305887e-07,-1.6800691139245528e-09,526.5344577199721,2039731.606901266,5441.813954190016,0.12004380064920724,0.00046577990012286414,4853.873418535451,8.631577180436542,-40.065677253374545,1.0498798648582501,-630.4541847258088,0.121632448266558,0.0002200305802475868,-1.1973654819398438,4443.496502169982
