rho [kg/m3], e [J/kg], P [Pa] 
19.70322, 339286.70016, 416081.48148 
19.63691, 339215.50383, 414807.40741 
19.57066, 339144.09666, 413533.33333 
19.50444, 339072.47737, 412259.25926 
19.43828, 339000.64463, 410985.18519 
19.37217, 338928.59714, 409711.11111 
19.30610, 338856.33355, 408437.03704 
19.24008, 338783.85252, 407162.96296 
19.17410, 338711.15270, 405888.88889 
19.10818, 338638.23270, 404614.81481 
19.04230, 338565.09116, 403340.74074 
18.97647, 338491.72666, 402066.66667 
18.91068, 338418.13780, 400792.59259 
18.84494, 338344.32317, 399518.51852 
18.77925, 338270.28131, 398244.44444 
18.71361, 338196.01078, 396970.37037 
18.64801, 338121.51012, 395696.29630 
18.58246, 338046.77784, 394422.22222 
18.51695, 337971.81246, 393148.14815 
18.45150, 337896.61247, 391874.07407 
18.38608, 337821.17634, 390600.00000 
18.32072, 337745.50255, 389325.92593 
18.25540, 337669.58953, 388051.85185 
18.19012, 337593.43573, 386777.77778 
18.12489, 337517.03956, 385503.70370 
18.05971, 337440.39942, 384229.62963 
17.99457, 337363.51371, 382955.55556 
17.92948, 337286.38079, 381681.48148 
17.86444, 337208.99901, 380407.40741 
17.79944, 337131.36673, 379133.33333 
17.73448, 337053.48225, 377859.25926 
17.66957, 336975.34388, 376585.18519 
17.60470, 336896.94992, 375311.11111 
17.53988, 336818.29863, 374037.03704 
17.47511, 336739.38827, 372762.96296 
17.41038, 336660.21707, 371488.88889 
17.34569, 336580.78325, 370214.81481 
17.28105, 336501.08500, 368940.74074 
17.21646, 336421.12052, 367666.66667 
17.15191, 336340.88796, 366392.59259 
17.08740, 336260.38547, 365118.51852 
17.02294, 336179.61117, 363844.44444 
16.95852, 336098.56315, 362570.37037 
16.89414, 336017.23952, 361296.29630 
16.82981, 335935.63833, 360022.22222 
16.76553, 335853.75763, 358748.14815 
16.70128, 335771.59544, 357474.07407 
16.63709, 335689.14976, 356200.00000 
16.57293, 335606.41858, 354925.92593 
16.50882, 335523.39985, 353651.85185 
16.44475, 335440.09151, 352377.77778 
16.38073, 335356.49148, 351103.70370 
16.31675, 335272.59766, 349829.62963 
16.25281, 335188.40790, 348555.55556 
16.18891, 335103.92019, 347281.48148 
16.12506, 335019.13210, 346007.40741 
16.06125, 334934.04154, 344733.33333 
15.99749, 334848.64631, 343459.25926 
15.93377, 334762.94414, 342185.18519 
15.87009, 334676.93277, 340911.11111 
15.80645, 334590.60990, 339637.03704 
15.74285, 334503.97319, 338362.96296 
15.67930, 334417.02031, 337088.88889 
15.61579, 334329.74887, 335814.81481 
15.55232, 334242.15648, 334540.74074 
15.48890, 334154.24069, 333266.66667 
15.42552, 334065.99905, 331992.59259 
15.36217, 333977.42907, 330718.51852 
15.29888, 333888.52824, 329444.44444 
15.23562, 333799.29401, 328170.37037 
15.17240, 333709.72381, 326896.29630 
15.10923, 333619.81504, 325622.22222 
15.04610, 333529.56506, 324348.14815 
14.98301, 333438.97120, 323074.07407 
14.91996, 333348.03078, 321800.00000 
14.85695, 333256.74106, 320525.92593 
14.79398, 333165.09928, 319251.85185 
14.73106, 333073.10265, 317977.77778 
14.66817, 332980.74835, 316703.70370 
14.60533, 332888.03351, 315429.62963 
14.54253, 332794.95524, 314155.55556 
14.47977, 332701.51061, 312881.48148 
14.41704, 332607.69665, 311607.40741 
14.35436, 332513.51037, 310333.33333 
14.29172, 332418.94873, 309059.25926 
14.22913, 332324.00865, 307785.18519 
14.16657, 332228.68702, 306511.11111 
14.10405, 332132.98069, 305237.03704 
14.04157, 332036.88647, 303962.96296 
13.97913, 331940.40112, 302688.88889 
13.91673, 331843.52138, 301414.81481 
13.85438, 331746.24394, 300140.74074 
13.79206, 331648.56544, 298866.66667 
13.72978, 331550.48249, 297592.59259 
13.66754, 331451.99164, 296318.51852 
13.60534, 331353.08942, 295044.44444 
13.54318, 331253.77229, 293770.37037 
13.48106, 331154.03668, 292496.29630 
13.41898, 331053.87897, 291222.22222 
13.35694, 330953.29550, 289948.14815 
13.29494, 330852.28254, 288674.07407 
13.23298, 330750.83634, 287400.00000 
13.17105, 330648.95308, 286125.92593 
13.10917, 330546.62889, 284851.85185 
13.04732, 330443.85987, 283577.77778 
12.98551, 330340.64203, 282303.70370 
12.92374, 330236.97137, 281029.62963 
12.86201, 330132.84380, 279755.55556 
12.80032, 330028.25520, 278481.48148 
12.73867, 329923.20137, 277207.40741 
12.67705, 329817.67808, 275933.33333 
12.61548, 329711.68101, 274659.25926 
12.55394, 329605.20581, 273385.18519 
12.49244, 329498.24805, 272111.11111 
12.43098, 329390.80326, 270837.03704 
12.36955, 329282.86687, 269562.96296 
12.30816, 329174.43428, 268288.88889 
12.24681, 329065.50082, 267014.81481 
12.18550, 328956.06173, 265740.74074 
12.12423, 328846.11222, 264466.66667 
12.06299, 328735.64739, 263192.59259 
12.00179, 328624.66230, 261918.51852 
11.94063, 328513.15193, 260644.44444 
11.87951, 328401.11119, 259370.37037 
11.81842, 328288.53489, 258096.29630 
11.75737, 328175.41780, 256822.22222 
11.69635, 328061.75459, 255548.14815 
11.63538, 327947.53987, 254274.07407 
11.57444, 327832.76814, 253000.00000 
11.51353, 327717.43385, 251725.92593 
11.45267, 327601.53134, 250451.85185 
11.39184, 327485.05488, 249177.77778 
11.33104, 327367.99864, 247903.70370 
11.27028, 327250.35673, 246629.62963 
11.20956, 327132.12313, 245355.55556 
11.14888, 327013.29174, 244081.48148 
11.08823, 326893.85639, 242807.40741 
11.02761, 326773.81079, 241533.33333 
10.96703, 326653.14854, 240259.25926 
10.90649, 326531.86316, 238985.18519 
10.84599, 326409.94807, 237711.11111 
10.78552, 326287.39656, 236437.03704 
10.72508, 326164.20185, 235162.96296 
10.66468, 326040.35701, 233888.88889 
10.60431, 325915.85502, 232614.81481 
10.54399, 325790.68874, 231340.74074 
10.48369, 325664.85092, 230066.66667 
10.42343, 325538.33419, 228792.59259 
10.36321, 325411.13104, 227518.51852 
10.30302, 325283.23385, 226244.44444 
10.24286, 325154.63488, 224970.37037 
10.18274, 325025.32623, 223696.29630 
10.12266, 324895.29990, 222422.22222 
10.06260, 324764.54774, 221148.14815 
10.00259, 324633.06144, 219874.07407 
9.94260, 324500.83258, 218600.00000 
9.88266, 324367.85258, 217325.92593 
9.82274, 324234.11269, 216051.85185 
9.76286, 324099.60405, 214777.77778 
9.70301, 323964.31760, 213503.70370 
9.64320, 323828.24414, 212229.62963 
9.58342, 323691.37431, 210955.55556 
9.52367, 323553.69857, 209681.48148 
9.46396, 323415.20720, 208407.40741 
9.40428, 323275.89033, 207133.33333 
9.34464, 323135.73789, 205859.25926 
9.28503, 322994.73961, 204585.18519 
9.22545, 322852.88507, 203311.11111 
9.16590, 322710.16363, 202037.03704 
9.10639, 322566.56443, 200762.96296 
9.04690, 322422.07645, 199488.88889 
8.98746, 322276.68842, 198214.81481 
8.92804, 322130.38888, 196940.74074 
8.86866, 321983.16614, 195666.66667 
8.80931, 321835.00827, 194392.59259 
8.74999, 321685.90314, 193118.51852 
8.69070, 321535.83835, 191844.44444 
8.63145, 321384.80126, 190570.37037 
8.57222, 321232.77899, 189296.29630 
8.51303, 321079.75840, 188022.22222 
8.45388, 320925.72607, 186748.14815 
8.39475, 320770.66832, 185474.07407 
8.33565, 320614.57119, 184200.00000 
8.27659, 320457.42042, 182925.92593 
8.21755, 320299.20147, 181651.85185 
8.15855, 320139.89948, 180377.77778 
8.09958, 319979.49930, 179103.70370 
8.04064, 319817.98543, 177829.62963 
7.98173, 319655.34205, 176555.55556 
7.92285, 319491.55302, 175281.48148 
7.86401, 319326.60182, 174007.40741 
7.80519, 319160.47157, 172733.33333 
7.74640, 318993.14505, 171459.25926 
7.68765, 318824.60463, 170185.18519 
7.62892, 318654.83230, 168911.11111 
7.57022, 318483.80963, 167637.03704 
7.51156, 318311.51778, 166362.96296 
7.45292, 318137.93749, 165088.88889 
7.39431, 317963.04905, 163814.81481 
7.33573, 317786.83228, 162540.74074 
7.27719, 317609.26655, 161266.66667 
7.21867, 317430.33072, 159992.59259 
7.16018, 317250.00317, 158718.51852 
7.10172, 317068.26175, 157444.44444 
7.04328, 316885.08377, 156170.37037 
6.98488, 316700.44601, 154896.29630 
6.92651, 316514.32464, 153622.22222 
6.86816, 316326.69530, 152348.14815 
6.80984, 316137.53296, 151074.07407 
6.75155, 315946.81199, 149800.00000 
6.69329, 315754.50612, 148525.92593 
6.63506, 315560.58839, 147251.85185 
6.57685, 315365.03114, 145977.77778 
6.51868, 315167.80601, 144703.70370 
6.46053, 314968.88388, 143429.62963 
6.40240, 314768.23485, 142155.55556 
6.34431, 314565.82824, 140881.48148 
6.28624, 314361.63253, 139607.40741 
6.22820, 314155.61534, 138333.33333 
6.17018, 313947.74341, 137059.25926 
6.11219, 313737.98254, 135785.18519 
6.05423, 313526.29759, 134511.11111 
5.99630, 313312.65242, 133237.03704 
5.93839, 313097.00986, 131962.96296 
5.88050, 312879.33165, 130688.88889 
5.82265, 312659.57844, 129414.81481 
5.76481, 312437.70971, 128140.74074 
5.70701, 312213.68374, 126866.66667 
5.64923, 311987.45757, 125592.59259 
5.59147, 311758.98693, 124318.51852 
5.53374, 311528.22617, 123044.44444 
5.47603, 311295.12828, 121770.37037 
5.41835, 311059.64473, 120496.29630 
5.36069, 310821.72548, 119222.22222 
5.30306, 310581.31891, 117948.14815 
5.24545, 310338.37169, 116674.07407 
5.18787, 310092.82880, 115400.00000 
5.13030, 309844.63336, 114125.92593 
5.07277, 309593.72662, 112851.85185 
5.01525, 309340.04785, 111577.77778 
4.95776, 309083.53423, 110303.70370 
4.90029, 308824.12078, 109029.62963 
4.84284, 308561.74024, 107755.55556 
4.78542, 308296.32300, 106481.48148 
4.72802, 308027.79694, 105207.40741 
4.67064, 307756.08732, 103933.33333 
4.61328, 307481.11668, 102659.25926 
4.55594, 307202.80469, 101385.18519 
4.49863, 306921.06797, 100111.11111 
4.44133, 306635.82000, 98837.03704 
4.38406, 306346.97090, 97562.96296 
4.32680, 306054.42730, 96288.88889 
4.26957, 305758.09213, 95014.81481 
4.21235, 305457.86440, 93740.74074 
4.15516, 305153.63906, 92466.66667 
4.09798, 304845.30669, 91192.59259 
4.04083, 304532.75331, 89918.51852 
3.98369, 304215.86010, 88644.44444 
3.92657, 303894.50316, 87370.37037 
3.86947, 303568.55313, 86096.29630 
3.81239, 303237.87497, 84822.22222 
3.75532, 302902.32753, 83548.14815 
3.69827, 302561.76323, 82274.07407 
3.64124, 302216.02765, 81000.00000 
3.58422, 301864.95910, 79725.92593 
3.52722, 301508.38814, 78451.85185 
3.47024, 301146.13708, 77177.77778 
3.41327, 300778.01946, 75903.70370 
3.35631, 300403.83943, 74629.62963 
3.29937, 300023.39113, 73355.55556 
3.24245, 299636.45797, 72081.48148 
3.18553, 299242.81190, 70807.40741 
3.12863, 298842.21255, 69533.33333 
3.07174, 298434.40635, 68259.25926 
3.01487, 298019.12555, 66985.18519 
2.95800, 297596.08709, 65711.11111 
2.90115, 297164.99149, 64437.03704 
2.84430, 296725.52145, 63162.96296 
2.78747, 296277.34051, 61888.88889 
2.73065, 295820.09137, 60614.81481 
2.67383, 295353.39422, 59340.74074 
2.61702, 294876.84473, 58066.66667 
2.56022, 294390.01193, 56792.59259 
2.50342, 293892.43581, 55518.51852 
2.44663, 293383.62461, 54244.44444 
2.38985, 292863.05187, 52970.37037 
2.33307, 292330.15303, 51696.29630 
2.27629, 291784.32168, 50422.22222 
2.21951, 291224.90533, 49148.14815 
2.16274, 290651.20053, 47874.07407 
2.10596, 290062.44751, 46600.00000 
2.04919, 289457.82389, 45325.92593 
1.99241, 288836.43766, 44051.85185 
1.93563, 288197.31902, 42777.77778 
1.87884, 287539.41107, 41503.70370 
1.82205, 286861.55902, 40229.62963 
1.76525, 286162.49767, 38955.55556 
1.70844, 285440.83684, 37681.48148 
1.65162, 284695.04430, 36407.40741 
1.59479, 283923.42569, 35133.33333 
1.53795, 283124.10072, 33859.25926 
1.48109, 282294.97487, 32585.18519 
1.42421, 281433.70544, 31311.11111 
1.36730, 280537.66065, 30037.03704 
1.31038, 279603.86986, 28762.96296 
1.25343, 278628.96261, 27488.88889 
1.19645, 277609.09328, 26214.81481 
1.13944, 276539.84707, 24940.74074 
1.08239, 275416.12150, 23666.66667 
1.02529, 274231.97527, 22392.59259 
0.96816, 272980.43310, 21118.51852 
0.91097, 271653.23022, 19844.44444 
0.85373, 270240.47242, 18570.37037 
0.79642, 268730.17607, 17296.29630 
0.73904, 267107.63291, 16022.22222 
0.68157, 265354.51294, 14748.14815 
0.62402, 263447.56393, 13474.07407 
0.56636, 261356.66754, 12200.00000 
